address,eth_balance,cSum
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,6.32273E+24,6.32273E+24
0x00000000219ab540356cbb839cbe05303d7705fa,4.75658E+24,1.10793E+25
0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,1.37081E+24,1.24501E+25
0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea,1.1345E+24,1.35846E+25
0xc61b9bb3a7a0767e3179713f3a5c7a9aedce193c,8.70011E+23,1.44546E+25
0xdf9eb223bafbe5c5271415c75aecd68c21fe3d7f,8.4682E+23,1.53015E+25
0x07ee55aa48bb72dcc6e9d78256648910de513eca,7.83741E+23,1.60852E+25
0x8484ef722627bf18ca5ae6bcf031c23e6e922b30,7.29768E+23,1.6815E+25
0xa929022c9107643515f5c777ce9a910f0d1e490c,3.98653E+23,1.72136E+25
0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae,3.94488E+23,1.76081E+25
0x220866b1a2219f40e72f5c628b65d54268ca3a9d,3.25002E+23,1.79331E+25
0x3bfc20f0b9afcace800d73d2191166ff16540258,3.06277E+23,1.82394E+25
0xdc24316b9ae028f1497c275eb9192a3ea0f67022,2.84349E+23,1.85237E+25
0x1db92e2eebc8e0c075a02bea49a2935bcd2dfcf4,2.68325E+23,1.87921E+25
0x3dfd23a6c5e8bbcfc9581d2e864a68feb6a076d3,2.55099E+23,1.90472E+25
0xf774da4418c6dca3051f0e7570829b24214e730b,1.9059E+23,1.92377E+25
0xc5424b857f758e906013f3555dad202e4bdb4567,1.81647E+23,1.94194E+25
0x7da82c7ab4771ff031b66538d2fb9b0b047f6cf9,1.81434E+23,1.96008E+25
0xd69b0089d9ca950640f5dc9931a41a5965f00303,1.73001E+23,1.97738E+25
0xcafea7934490ef8b9d2572eaefeb9d48162ea5d8,1.6196E+23,1.99358E+25
0xa160cdab225685da1d56aa342ad8841c3b53f291,1.592E+23,2.0095E+25
0x0c23fc0ef06716d2f8ba19bc4bed56d045581f2d,1.3361E+23,2.02286E+25
0xda079a280fc3e33eb11a78708b369d5ca2da54fe,1.21875E+23,2.03505E+25
0x3262f13a39efaca789ae58390441c9ed76bc658a,1.18856E+23,2.04693E+25
0x3d4530082c3eb60f58af03f79b1ed3f40e591cd1,1.164E+23,2.05857E+25
0x376c3e5547c68bc26240d8dcc6729fff665a4448,1.14939E+23,2.07007E+25
0xbf4ed7b27f1d666546e30d74d50d173d20bca754,1.02806E+23,2.08035E+25
0xbddf00563c9abd25b576017f08c46982012f12be,9.43067E+22,2.08978E+25
0xc1bf8f2acc5d5824974ce4c90a8438421150f753,8.98412E+22,2.09876E+25
0x4c9a2bd661d640da3634a4988a9bd2bc0f18e5a9,8.16522E+22,2.10693E+25
0x7e6ea81a68a2af50f64a37b3d6e50b1abb796da8,8.00516E+22,2.11493E+25
0xab7bb7959332888e44d795c6f28ee876a8469eaa,7.56501E+22,2.1225E+25
0x802ea31c421ec79e8190cb68b699af3e3bc625fe,7.2E+22,2.1297E+25
0x755cdba6ae4f479f7164792b318b2a06c759833b,7.1282E+22,2.13683E+25
0x1e143b2588705dfea63a17f2032ca123df995ce0,6.73173E+22,2.14356E+25
0x21346283a31a5ad10fa64377e77a8900ac12d469,5.92E+22,2.14948E+25
0xf8a4d3a0b5859a24cd1320ba014ab17f623612e2,5.74017E+22,2.15522E+25
0xd0ffc75e8000cba848d259b8d121a7bfcc13dce8,5.64804E+22,2.16087E+25
0x27321f84704a599ab740281e285cc4463d89a3d5,5.42303E+22,2.16629E+25
0xea361043a14509fd3d1743dcefc861fa5a3c3018,5.39934E+22,2.17169E+25
0x326d9f47ba49bbaac279172634827483af70a601,5.07579E+22,2.17676E+25
0x1522900b6dafac587d499a862861c0869be6e428,5.06429E+22,2.18183E+25
0x3a61da6d37493e2f248a6832f49b52af0a6f4fbb,5.06152E+22,2.18689E+25
0x7e677cacaae0d465cfd336869f1f575a48bf012a,5E+22,2.19189E+25
0xe1576685451986e3f93c2fb87cca3aec5b5d45d0,5E+22,2.19689E+25
0x95d4b793969d77b2dad3be61a3a1601263a45bb4,5E+22,2.20189E+25
0x333c100ae1a2743a1e55d73913cac6d95deb7f62,5E+22,2.20689E+25
0x9fec89e34efaa4fc9f19c02f474c71373e6effe7,5E+22,2.21189E+25
0x518b82370bc31ebb96922ec257d92517d7387615,5E+22,2.21689E+25
0xfbb23038fe6cfa16aa898d7dbca7c3269bdaf258,5E+22,2.22189E+25
0x4ffb8d98d8f1f5ed1025f0e0aa7127753a87b6c1,5E+22,2.22689E+25
0xaf56c2dde7d189670e005cd83170942f9a082a46,5E+22,2.23189E+25
0x5e0954a64834ed118e525770852e345f3bb9912b,5E+22,2.23689E+25
0xb8d2b921c0ea0ca27266fa63907a079ef25084d0,4.6545E+22,2.24154E+25
0x4399f61795d3e50096e236a6d31ab24470c99fd5,4.56296E+22,2.24611E+25
0x1bf68a9d1eaee7826b3593c20a0ca93293cb489a,4.52395E+22,2.25063E+25
0xd793281182a0e3e023116004778f45c29fc14f19,4.48288E+22,2.25511E+25
0x74fea5583d51dc763a303609f4164b929e454af7,4.35125E+22,2.25947E+25
0xe25a329d385f77df5d4ed56265babe2b99a5436e,4.31904E+22,2.26378E+25
0xa646e29877d52b9e2de457eca09c724ff16d0a2b,4.3E+22,2.26808E+25
0xe825363f3bedabc95b2a9d42dbc73ec7b82b57d3,4.17373E+22,2.27226E+25
0x795cbc7a670d06e56cd2197d4ca175e081a416ad,4.1107E+22,2.27637E+25
0x4c766def136f59f6494f0969b1355882080cf8e0,4.09166E+22,2.28046E+25
0x3b6c03b232f87aee2ea6561ec7bf080a7710d667,4.06061E+22,2.28452E+25
0xaa06a9e8c44db313725f658a25f60df0ae5c1f72,4.05065E+22,2.28857E+25
0x059799f2261d37b829c2850cee67b5b975432271,4.00345E+22,2.29257E+25
0x7758e507850da48cd47df1fb5f875c23e3340c50,3.86493E+22,2.29644E+25
0xbf35faa9c265baf50c9cff8c389c363b05753275,3.60026E+22,2.30004E+25
0xffc19fe32623c6aeccdbae37f631589a45196385,3.47696E+22,2.30352E+25
0xcafe1a77e84698c83ca8931f54a755176ef75f2c,3.46151E+22,2.30698E+25
0x187c0e0aa33282096b39a33457939f1dc3ea8e0f,3.36548E+22,2.31034E+25
0x51fd527c62e40bc1ef62f1269f7f13c994777ee2,3.36031E+22,2.3137E+25
0x22650fcf7e175ffe008ea18a90486d7ba0f51e41,3.2217E+22,2.31693E+25
0x631617282dae8672d63344d69f2c085df9f2dad5,3.14775E+22,2.32007E+25
0x111cff45948819988857bbf1966a0399e0d1141e,3.119E+22,2.32319E+25
0xd6a062cae6123c158768a5c444ca0896cc60d6b1,3.04702E+22,2.32624E+25
0xaab0e04ca86e791b6a214028f09d0a87b36cb564,3.04585E+22,2.32929E+25
0xb8e73ba7c6c0b50a0cd94fe9f6622762b0401c02,3E+22,2.33229E+25
0x3eb01b3391ea15ce752d01cf3d3f09dec596f650,2.94255E+22,2.33523E+25
